source_figure,figure_name,experiment_type,data_section,model,probe_layer,game,target_switching_point_tokens,lambda_calibrated,logistic_slope,offer_amount_tokens,n_agents,n_accepting,raw_fraction_accept,plotted_fraction_accept,agent_id,prompt,response,parsed_choice,lambda_required,calibration_procedure,choice_subset,mean_probe_activation
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,80.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,85.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,90.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,95.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,100.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,10.0,40.0,0.0,0.0,0.012195,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,15.0,40.0,0.0,0.0,0.012196,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,20.0,40.0,0.0,0.0,0.012196,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,25.0,40.0,0.0,0.0,0.012287,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,30.0,40.0,0.0,0.0,0.012287,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,35.0,40.0,0.0,0.0,0.01992,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,40.0,40.0,1.0,0.025,0.027601,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,45.0,40.0,1.0,0.025,0.067907,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,50.0,40.0,5.0,0.125,0.126067,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,55.0,40.0,8.0,0.2,0.287154,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,60.0,40.0,21.0,0.525,0.481607,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,65.0,40.0,29.0,0.725,0.735335,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,70.0,40.0,39.0,0.975,0.870978,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,75.0,40.0,37.0,0.925,0.925794,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,80.0,40.0,39.0,0.975,0.934218,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,85.0,40.0,40.0,1.0,0.95603,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,90.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,95.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,60,2.3945,0.19942,100.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_001,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_002,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_003,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_004,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_005,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_006,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_007,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_008,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_009,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_010,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_011,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_012,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_013,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_014,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_015,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_016,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_017,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_018,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_019,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,per_agent_rows,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,,,,,agent_020,"ULTIMATUM GAME

A proposer was given 100 tokens and has decided to offer you 10 tokens out of their 100 tokens.
If you accept, you keep the proposed amount and the proposer keeps the rest.
If you reject, both of you get 0 tokens.

Do you accept or reject this offer? Respond with either 'Accept' or 'Reject' as your final answer.",Reject,0.0,,,,
