source_figure,figure_name,experiment_type,data_section,model,judge,probe_layer,task,object,prompt_id,target_creativity_score,lambda_calibrated,agent_id,creativity_score,response,prompt,scores_fluency,scores_flexibility,scores_originality,scores_elaboration,construct,train_object,test_object,split_type,metric,mean_score,std_score,n_runs
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_011,4.0,"Sure, here are several detailed ways you could use a brick, with one paragraph for each idea:

1. Try a brick laid flat outside the door to clean caked mud off soles. Also, rinsing the brick with a garden hose returns it to a like-new state in seconds.

2. Submerge cabbage in a fermenting crock by setting a wrapped brick on top. In addition, a second brick on top accelerates pressing during the first day of fermentation.

3. Bury a brick in the planting hole and tie a young tree stake to it.",List very detailed ways you can use a brick. Each answer should be a paragraph.,3.0,5.0,4.0,4.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_012,3.25,"1. Anchor a sapling's guy line to a buried brick rather than a surface stake. Tying the stake to a buried brick gives a hidden, low-profile anchor that doesn't rot, or close to it. It helps that once the tree establishes, the brick is left in the soil or pulled during a transplant, or close to it.

2. Bricks set flush with the lawn form a simple, mowable garden path. In addition, joints filled with fine sand stay tight even after several rain cycles, in practice. It helps that bedding the bricks in a layer of compacted sand creates a stable, low-maintenance walkway.

3. If you have one handy, pound in stakes or shims with a brick as a stand-in mallet. A square blow on the wide face drives a tent stake cleanly into soft ground (in most cases).",List very detailed ways you can use a brick. Each answer should be a paragraph.,3.0,2.0,3.0,5.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_013,4.0,"1. Try bricks to shelter a flame from gusts during a backyard fire. Also, the brick mass stores heat and radiates it back into the base of the fire. On top of that, once the fire is out, the bricks cool quickly compared to metal fire rings.

2. A brick gives you the same boost as a thin step when you don't have one handy. One nice side effect is that on its wide face the brick adds about three inches of safe step height. Two stacked bricks give roughly six inches and are still secure for a short reach — small but it adds up. On top of that, turned on its long edge it adds closer to four inches but is less stable.

3. Slide a brick under one leg of a wobbling workbench until it sits level. Of course, cloth or rubber between the brick and floor prevents the surface from getting scratched — though that's not always the case.",List very detailed ways you can use a brick. Each answer should be a paragraph.,3.0,3.0,6.0,4.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_014,4.25,"**1.** Lay a single-brick-wide path from the back door to the garden. What's more, joints filled with fine sand stay tight even after several rain cycles. One nice side effect is that bedding the bricks in a layer of compacted sand creates a stable, low-maintenance walkway.

**2.** Bury a brick in the planting hole and tie a young tree stake to it. Also, tying the stake to a buried brick gives a hidden, low-profile anchor that doesn't rot. Once the tree establishes, the brick is left in the soil or pulled during a transplant.

**3.** Hold a brick overhead in a stable lockout as a quick at-home shoulder workout. It also helps that alternating one-handed and two-handed holds varies the joint angle and recruitment. It also helps that pressing the brick overhead trains static shoulder and core stability simultaneously. On top of that, it's not a substitute for proper kettlebells but is a serviceable portable stand-in.

**4.** Here's one: hold a brick out at arm's length as a no-cost forearm endurance exercise. Along the same lines, holding the brick at arm's length for set intervals quickly tires forearm **grip**.

**5.** One more idea: cut a relief design into the surface of a brick and ink it like a wood block. What's more, pressing the carved face into damp clay or ink leaves a crisp, repeating impression. On top of that, bricks are large enough to carve a poster-sized motif rather than a small icon.",List very detailed ways you can use a brick. Each answer should be a paragraph.,5.0,3.0,4.0,5.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_015,3.25,"1. Hold a brick out at arm's length as a no-cost forearm endurance exercise. Starting from a single brick to two stacked bricks scales the load gradually.

2. Press a brick to a locked-out overhead position for shoulder endurance training.

3. Rest a brick against the door's base to wedge it open during ventilation. What's more, for exterior doors, the weight prevents the wind from forcing them shut on you mid-trip.

4. Warm a brick in the sun and use it as a winter foot warmer during a long drive.

5. Press wildflowers between two bricks and a stack of paper. On top of that, blotting paper between brick and flower wicks away moisture during the press.",List very detailed ways you can use a brick. Each answer should be a paragraph.,5.0,1.0,3.0,4.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_016,4.25,"**1. Aquarium cave:** Set a brick in the aquarium as a shelter for bottom-dwelling fish. Drilled holes give multiple entry and exit routes that reduce inter-fish bullying. It helps that fired clay is inert and gives solid hiding spots for cave-loving fish.

**2. Mason-bee block:** Drill nesting tunnels into a brick to make a mason-bee block for the garden. Note that replacing the brick block every two years prevents parasite buildup in the tunnels.

**3. Grip-strength weight:** Try a brick as a grip-strength training tool for climbing forearms. It's also a useful training tool for guitarists training left-hand endurance, though it can slip on wet tile. It helps that holding the brick out out at arm's length for time intervals quickly fatigues forearm **grip**, in practice — at least most of the time.

**4. Overhead hold.** Hold a brick overhead in a stable lockout as a quick at-home shoulder workout. On top of that, it's not a substitute for proper kettlebells but is a serviceable portable stand-in. On top of that, holding for thirty seconds is more than enough for most lifters; one minute is advanced.

**5. Step stool:** A brick gives you the same boost as a thin step when you don't have one handy. It helps that always set the brick on a level floor; carpet or rugs is unstable. What's more, two stacked bricks give roughly six inches and are still secure for a short reach.

**6. Tarp weight.** If you have one handy, hold down a backyard tarp with a brick at each corner during storms. It helps that spacing additional bricks along the long edge keeps water from pooling at the center. In addition, wrapping each brick in cloth keeps the tarp's grommets from being chafed. It helps that four bricks at the corners are often enough to hold a 10x12 tarp through gusty conditions.",List very detailed ways you can use a brick. Each answer should be a paragraph.,6.0,3.0,3.0,5.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_017,3.75,"**1.** Try a brick as a grip-strength training tool for climbing forearms. What's more, pinching the brick by the wide face trains the same finger flexors used for climbing holds. It's also a useful training tool for guitarists training left-hand endurance — at least most of the time. Note that working from a single brick to two stacked bricks scales the load gradually.

**2.** Bury a brick in the planting pit and tie a young tree's stake to it. The brick's weight resists pullout in windy conditions during the first growing season, which is a small but real win — though that's not always the case.",List very detailed ways you can use a brick. Each answer should be a paragraph.,2.0,7.0,2.0,4.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_018,5.0,"Here are some detailed uses for a brick:

**1.** Hone a kitchen knife on the face of a wet brick when no whetstone is around. Note that long, even strokes across the wide face maintain a consistent bevel angle. It helps that soaking the brick cushions the stone-on-steel contact and helps the edge form cleanly. In addition — in practice —, this is a get-by solution; once at home, a proper whetstone is still the better tool, or close to it.

**2.** Try a brick as a makeshift hammer for tent stakes on a camping trip. It helps that it's a good emergency substitute, though a real mallet remains safer for repeated strikes. In addition, a square blow on the wide face drives a tent stake cleanly into soft ground — at least most of the time. Of course, holding the brick by its long axis gives a controlled, low-velocity strike that won't split the stake, or close to it. It helps that wrap the brick in duct tape to keep chips from breaking off on impact.

**3.** Flatten leaves and flowers under a brick for a botanical art project. A week under the brick is often enough for specimens ready to be mounted, in practice. What's more, bricks are easier to source than the wood and bolts of a purpose-built press.

**4.** Warm a brick in the sun and use it as a winter foot warmer during a long drive. Note that wrapping it in a wool sock or thick towel makes it safe to hold against bare skin. One nice side effect is that an hour in afternoon sun gives the brick enough thermal mass to stay warm for several hours.

**5.** Make a brick boot scraper to keep dirt out of the entryway. Painting the side facing out with a coat of bright color makes it easy to find at night, roughly speaking.

**6.** Press sauerkraut beneath the brine line with a wrapped brick. It helps that the mass keeps cabbage submerged and prevents surface mold from forming during fermentation. Of course, after ferment, the brick washes down quickly and stores cleanly under the sink.",List very detailed ways you can use a brick. Each answer should be a paragraph.,6.0,4.0,5.0,5.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_019,3.75,"- Stash a wrapped brick in the car as an emergency window-breaking tool.

- Try bricks to raise a freezer in a damp basement that occasionally sees minor flooding. On that note, four bricks under the corners of a washer keep the motor above shallow standing water — small but it adds up.

- Try the brick as a paperweight to keep loose sheets from blowing around. It also helps that the footprint is large enough to cover an entire 8.5x11 stack at once.

Want me to keep going? I can probably think of a few more.",List very detailed ways you can use a brick. Each answer should be a paragraph.,3.0,3.0,6.0,3.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_020,3.25,"**1.** Wedge a brick behind a tire to chock a car parked on a slope.

**2.** Drop a brick into the toilet tank to reduce the water used per flush.

**3.** Bookends made from bricks can support a heavier row of books than store-bought ones.

**4.** A brick weighs down stacks of paper far better than the usual desk paperweight.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,3.0,5.0,1.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_021,4.75,"Of course. Below are detailed uses for a brick, each described as a paragraph:

- Stand a few bricks up around a smoldering campfire as a windbreak. It helps that keep the brick at least a hand's width from the active flame to avoid thermal shock.

- Stand on a brick as an improvised step stool to reach a high shelf. What's more, on its wide face the brick adds about three inches of safe step height. Note that turned on its long edge it adds closer to four inches but is less stable.

- For another option, use a brick as a patio candle holder by carving a small well into the wide face. Of course, lining the well with foil makes the spent tealight easy to remove and replace.

- Try a brick as a decorative address marker at the end of a driveway. Also, stenciling the numbers gives a clean, professional look from across the lawn.

- Pinch the broad face of a brick to train the same grip muscles as climbing holds. On top of that, holding the brick at arm's length for set intervals quickly fatigues forearm grip. It helps that working from a single brick to two stacked bricks scales the load gradually, in practice.

- Press a brick to a locked-out overhead position for shoulder endurance training.",List very detailed ways you can use a brick. Each answer should be a paragraph.,6.0,5.0,4.0,4.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_022,2.75,"Sure, here are several detailed ways you could use a brick, with one paragraph for each idea:

1. Set a brick in the aquarium as a shelter for bottom-dwelling fish. Drilled holes give multiple entry and exit routes that reduce inter-fish bullying. On top of that, boil the brick before adding it to the tank to remove any surface dust or treatments — small but it adds up. What's more, fired clay is inert and provides solid hiding spots for cave-loving fish.

2. For another option, spread bricks along the edge of a pool or grill cover to anchor it.

3. Stabilize a rocking patio table by slipping a brick beneath the high spot. Also, it's a fast outdoor fix for picnic tables that always end up on uneven ground.

4. For another option, tenderize a tough cut of meat by pressing it under a wrapped brick. On that note, bring the brick to room temperature first; a fridge-cold brick chills the meat unevenly.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,1.0,2.0,4.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_023,3.75,"1. Try a brick as a decorative address marker at the end of a driveway.

2. Use a brick as a patio candle holder by carving a small well into the wide face.

3. Try bricks at the corners of a tarp to keep wind from lifting it overnight.

4. Slide a brick against the base of a door to keep it propped open.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,5.0,4.0,2.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_024,3.25,"Here are detailed ways you could use a brick, each in its own paragraph:

1. Stand a few bricks up around a smoldering campfire as a windbreak. Keep the brick at least a hand's width from the active flame to avoid thermal shock — small but it adds up. Two upright bricks block crosswinds while still letting smoke vent upward (in most cases).

2. Edge a vegetable plot with bricks laid in a shallow trench. Of course, joints filled with sand stay tight even after several rain cycles — small but it adds up.

3. Try a brick to gain a few extra inches when changing a ceiling light bulb. Also, on its wide face the brick adds about three inches of safe step height. In addition, turned on its long edge it adds closer to four inches but is less stable.

4. Slide a brick under one leg of a wobbling workbench until it sits level. Related: it's a fast outdoor fix for picnic tables that always end up on uneven ground. Also, a thin shim on top of the brick allows you to fine-tune the height to a perfect level.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,2.0,4.0,3.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_025,3.75,"1. Try a brick as a patio candle holder by carving a small well into the broad face. In addition, the recess catches wax drippings and the holder ages with character over a few seasons.

2. Try a brick as a decorative address marker at the end of a driveway. In addition, stenciling the numbers gives a clean, professional look from across the lawn. Of course, setting the painted brick on a small bed of crushed gravel keeps weeds from creeping over it.

3. Cut a relief design into the surface of a brick and ink it like a wood block. Also, a coat of beeswax over the carving protects fine detail from chipping over time.",List very detailed ways you can use a brick. Each answer should be a paragraph.,3.0,4.0,4.0,4.0,,,,,,,,
