source_figure,figure_name,experiment_type,data_section,model,probe_layer,game,target_switching_point_tokens,lambda_calibrated,risky_reward_tokens,n_agents,n_choosing_risky,raw_fraction_risky,plotted_fraction_risky,agent_id,prompt,response,parsed_choice,lambda_required,calibration_procedure,choice_subset,mean_probe_activation
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,85.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,90.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,95.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,100.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,105.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,110.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,115.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,120.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,125.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,130.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,135.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,140.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,145.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,150.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,155.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,160.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,165.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,170.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,175.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,180.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,185.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,190.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,195.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,200.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,205.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,210.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,215.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,220.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,225.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,230.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,235.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,240.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,20.0,40.0,0.0,0.0,0.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,25.0,40.0,0.0,0.0,0.003258,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,30.0,40.0,1.0,0.025,0.028182,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,35.0,40.0,3.0,0.075,0.068788,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,40.0,40.0,3.0,0.075,0.102273,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,45.0,40.0,12.0,0.3,0.270455,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,50.0,40.0,11.0,0.275,0.321061,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,55.0,40.0,26.0,0.65,0.633182,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,60.0,40.0,35.0,0.875,0.855909,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,65.0,40.0,37.0,0.925,0.919697,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,70.0,40.0,37.0,0.925,0.932727,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,75.0,40.0,40.0,1.0,0.9925,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,80.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,85.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,90.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,95.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,100.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,105.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,110.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,115.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,120.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,125.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,130.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,135.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,140.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,145.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,150.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,155.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,160.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,165.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,170.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,175.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,180.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,185.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,190.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,195.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,200.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,205.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,210.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,215.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,220.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,225.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,230.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,235.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,49,0.7691,240.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,20.0,40.0,0.0,0.0,0.003333,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,25.0,40.0,1.0,0.025,0.021742,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,30.0,40.0,1.0,0.025,0.021818,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,35.0,40.0,0.0,0.0,0.021818,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,40.0,40.0,2.0,0.05,0.043939,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,45.0,40.0,2.0,0.05,0.052955,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,50.0,40.0,3.0,0.075,0.075,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,55.0,40.0,4.0,0.1,0.102803,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,60.0,40.0,6.0,0.15,0.177273,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,65.0,40.0,18.0,0.45,0.423485,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,70.0,40.0,20.0,0.5,0.530909,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,75.0,40.0,34.0,0.85,0.82,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,80.0,40.0,36.0,0.9,0.902424,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,85.0,40.0,39.0,0.975,0.965606,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,90.0,40.0,38.0,0.95,0.965606,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,95.0,40.0,40.0,1.0,0.995606,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,100.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,105.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,110.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,115.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,120.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,125.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,130.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,135.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,140.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,145.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,150.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,155.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,160.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,165.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,170.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,175.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,180.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,185.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,190.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,195.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,68,1.2132,200.0,40.0,40.0,1.0,1.0,,,,,,,,
