id,economic_id,frame,probability,stake,ratio,reward,risky_label,safe_label,text,system_message
decision_discovery_gain_p0.15_s30_r5_original_A,decision_discovery_gain_p0.15_s30_r5,gain,0.15,30.0,7.3,219.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 219 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r5_original_B,decision_discovery_gain_p0.15_s30_r5,gain,0.15,30.0,7.3,219.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 15% chance to gain 219 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r0_original_A,decision_discovery_gain_p0.15_s70_r0,gain,0.15,70.0,0.3,21.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 21 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r0_original_B,decision_discovery_gain_p0.15_s70_r0,gain,0.15,70.0,0.3,21.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 15% chance to gain 21 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r1_original_A,decision_discovery_gain_p0.15_s70_r1,gain,0.15,70.0,0.7,49.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 49 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r1_original_B,decision_discovery_gain_p0.15_s70_r1,gain,0.15,70.0,0.7,49.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 15% chance to gain 49 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r2_original_A,decision_discovery_gain_p0.15_s70_r2,gain,0.15,70.0,1.3,91.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 91 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r2_original_B,decision_discovery_gain_p0.15_s70_r2,gain,0.15,70.0,1.3,91.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 15% chance to gain 91 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r3_original_A,decision_discovery_gain_p0.15_s70_r3,gain,0.15,70.0,2.3,161.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 161 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r3_original_B,decision_discovery_gain_p0.15_s70_r3,gain,0.15,70.0,2.3,161.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 15% chance to gain 161 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r4_original_A,decision_discovery_gain_p0.15_s70_r4,gain,0.15,70.0,4.3,301.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 301 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r4_original_B,decision_discovery_gain_p0.15_s70_r4,gain,0.15,70.0,4.3,301.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 15% chance to gain 301 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r5_original_A,decision_discovery_gain_p0.15_s70_r5,gain,0.15,70.0,7.3,511.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 511 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s70_r5_original_B,decision_discovery_gain_p0.15_s70_r5,gain,0.15,70.0,7.3,511.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 15% chance to gain 511 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r0_original_A,decision_discovery_gain_p0.5_s30_r0,gain,0.5,30.0,0.3,9.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 9 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r0_original_B,decision_discovery_gain_p0.5_s30_r0,gain,0.5,30.0,0.3,9.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 50% chance to gain 9 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r1_original_A,decision_discovery_gain_p0.5_s30_r1,gain,0.5,30.0,0.7,21.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 21 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r1_original_B,decision_discovery_gain_p0.5_s30_r1,gain,0.5,30.0,0.7,21.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 50% chance to gain 21 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r2_original_A,decision_discovery_gain_p0.5_s30_r2,gain,0.5,30.0,1.3,39.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 39 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r2_original_B,decision_discovery_gain_p0.5_s30_r2,gain,0.5,30.0,1.3,39.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 50% chance to gain 39 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r3_original_A,decision_discovery_gain_p0.5_s30_r3,gain,0.5,30.0,2.3,69.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 69 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r3_original_B,decision_discovery_gain_p0.5_s30_r3,gain,0.5,30.0,2.3,69.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 50% chance to gain 69 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r4_original_A,decision_discovery_gain_p0.5_s30_r4,gain,0.5,30.0,4.3,129.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 129 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r4_original_B,decision_discovery_gain_p0.5_s30_r4,gain,0.5,30.0,4.3,129.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 50% chance to gain 129 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r5_original_A,decision_discovery_gain_p0.5_s30_r5,gain,0.5,30.0,7.3,219.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 219 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s30_r5_original_B,decision_discovery_gain_p0.5_s30_r5,gain,0.5,30.0,7.3,219.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 50% chance to gain 219 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r0_original_A,decision_discovery_gain_p0.5_s70_r0,gain,0.5,70.0,0.3,21.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 21 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r0_original_B,decision_discovery_gain_p0.5_s70_r0,gain,0.5,70.0,0.3,21.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 50% chance to gain 21 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r1_original_A,decision_discovery_gain_p0.5_s70_r1,gain,0.5,70.0,0.7,49.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 49 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r1_original_B,decision_discovery_gain_p0.5_s70_r1,gain,0.5,70.0,0.7,49.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 50% chance to gain 49 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r2_original_A,decision_discovery_gain_p0.5_s70_r2,gain,0.5,70.0,1.3,91.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 91 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r2_original_B,decision_discovery_gain_p0.5_s70_r2,gain,0.5,70.0,1.3,91.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 50% chance to gain 91 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r3_original_A,decision_discovery_gain_p0.5_s70_r3,gain,0.5,70.0,2.3,161.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 161 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r3_original_B,decision_discovery_gain_p0.5_s70_r3,gain,0.5,70.0,2.3,161.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 50% chance to gain 161 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r4_original_A,decision_discovery_gain_p0.5_s70_r4,gain,0.5,70.0,4.3,301.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 301 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r4_original_B,decision_discovery_gain_p0.5_s70_r4,gain,0.5,70.0,4.3,301.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 50% chance to gain 301 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r5_original_A,decision_discovery_gain_p0.5_s70_r5,gain,0.5,70.0,7.3,511.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 50% chance to gain 511 tokens; 50% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.5_s70_r5_original_B,decision_discovery_gain_p0.5_s70_r5,gain,0.5,70.0,7.3,511.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 50% chance to gain 511 tokens; 50% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r0_original_A,decision_discovery_gain_p0.85_s30_r0,gain,0.85,30.0,0.3,9.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 85% chance to gain 9 tokens; 15% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r0_original_B,decision_discovery_gain_p0.85_s30_r0,gain,0.85,30.0,0.3,9.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 85% chance to gain 9 tokens; 15% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r1_original_A,decision_discovery_gain_p0.85_s30_r1,gain,0.85,30.0,0.7,21.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 85% chance to gain 21 tokens; 15% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r1_original_B,decision_discovery_gain_p0.85_s30_r1,gain,0.85,30.0,0.7,21.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 85% chance to gain 21 tokens; 15% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r2_original_A,decision_discovery_gain_p0.85_s30_r2,gain,0.85,30.0,1.3,39.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 85% chance to gain 39 tokens; 15% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r2_original_B,decision_discovery_gain_p0.85_s30_r2,gain,0.85,30.0,1.3,39.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 85% chance to gain 39 tokens; 15% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r3_original_A,decision_discovery_gain_p0.85_s30_r3,gain,0.85,30.0,2.3,69.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 85% chance to gain 69 tokens; 15% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r3_original_B,decision_discovery_gain_p0.85_s30_r3,gain,0.85,30.0,2.3,69.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 85% chance to gain 69 tokens; 15% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r4_original_A,decision_discovery_gain_p0.85_s30_r4,gain,0.85,30.0,4.3,129.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 85% chance to gain 129 tokens; 15% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r4_original_B,decision_discovery_gain_p0.85_s30_r4,gain,0.85,30.0,4.3,129.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 85% chance to gain 129 tokens; 15% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r5_original_A,decision_discovery_gain_p0.85_s30_r5,gain,0.85,30.0,7.3,219.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 85% chance to gain 219 tokens; 15% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s30_r5_original_B,decision_discovery_gain_p0.85_s30_r5,gain,0.85,30.0,7.3,219.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 85% chance to gain 219 tokens; 15% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s70_r0_original_A,decision_discovery_gain_p0.85_s70_r0,gain,0.85,70.0,0.3,21.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 85% chance to gain 21 tokens; 15% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 70 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.85_s70_r0_original_B,decision_discovery_gain_p0.85_s70_r0,gain,0.85,70.0,0.3,21.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 70 tokens.
Option B: 85% chance to gain 21 tokens; 15% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
