old_goodfire_label,replacement_feature_label,replacement_status,feature_index,neuronpedia_api_url,approx_candidate_rank,approx_cosine_similarity,approx_confidence_bucket,paper_row_count
Syntactical patterns for value assignment in code,assignments and code constructs,approximate_neuronpedia_explanation_search_top1,11739,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11739,1,0.7096963728121901,high_semantic_similarity,1400
System capacity and throughput management,scale and handle capacity,approximate_neuronpedia_explanation_search_top1,20507,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20507,1,0.6902561713811938,medium_semantic_similarity,12
Task list entries involving children's scheduled activities,scheduling and creating lists,approximate_neuronpedia_explanation_search_top1,62054,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/62054,1,0.6159866267693388,medium_semantic_similarity,1499
Technical descriptions of physical components and their relationships,technical components and their descriptions,approximate_neuronpedia_explanation_search_top1,5950,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/5950,1,0.7200879366932063,high_semantic_similarity,3
Technical requirements specification language using shall/must constructions,technical requirements can be written,approximate_neuronpedia_explanation_search_top1,15390,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15390,1,0.6778432643931215,medium_semantic_similarity,2
Technical setup and configuration states in experimental procedures,programming setup and parameters,approximate_neuronpedia_explanation_search_top1,36214,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36214,1,0.610634182872319,medium_semantic_similarity,4874
"Technical writing explaining properties, abilities and procedures",technical writer documentation,approximate_neuronpedia_explanation_search_top1,11575,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11575,1,0.6824075669168683,medium_semantic_similarity,1
Text being separated into distinct units through punctuation and formatting,"structural formatting and metadata markers indicating headers, section titles, punctuation boundaries, and newline separators.",approximate_neuronpedia_explanation_search_top1,30387,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/30387,1,0.6784442103737212,medium_semantic_similarity,1
Text elaboration through function words in creative writing,generate human-like text,approximate_neuronpedia_explanation_search_top1,11893,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11893,1,0.5732043880501447,low_semantic_similarity,14
Text that requires cleanup or reformatting due to broken language patterns,special characters or unknown language,approximate_neuronpedia_explanation_search_top1,5814,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/5814,1,0.5890795478400117,low_semantic_similarity,1
The Russian word for brick (кирпич/kirpich) and its variations,"Russian, Czech, or Slovak words",approximate_neuronpedia_explanation_search_top1,56237,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/56237,1,0.6074178671561996,medium_semantic_similarity,3
The assistant is asking questions or seeking clarification,assistant asks questions,approximate_neuronpedia_explanation_search_top1,11078,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11078,1,0.7779793992766855,high_semantic_similarity,67
The assistant is establishing its capabilities and boundaries,The user assistant role,approximate_neuronpedia_explanation_search_top1,6509,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/6509,1,0.622876486530541,medium_semantic_similarity,404
The assistant is explaining how to perform random selection,a random selection,approximate_neuronpedia_explanation_search_top1,41901,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/41901,1,0.6183364019581261,medium_semantic_similarity,1
The assistant is explaining why it cannot fulfill an unethical request,unethical illegal requests,approximate_neuronpedia_explanation_search_top1,64621,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/64621,1,0.6258721130333357,medium_semantic_similarity,658
The assistant is generating lists of creative alternatives or novel uses,ideas for creative generation,approximate_neuronpedia_explanation_search_top1,41895,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/41895,1,0.5676682910862288,low_semantic_similarity,3
The assistant is providing a list of options,options from a list,approximate_neuronpedia_explanation_search_top1,29413,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/29413,1,0.6558918865609423,medium_semantic_similarity,5
The assistant is providing analytical descriptions or explanations,an explanation or assistant,approximate_neuronpedia_explanation_search_top1,24826,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/24826,1,0.6451038239652224,medium_semantic_similarity,1729
The assistant needs clarification or should carefully explain concepts,explain or discuss concepts,approximate_neuronpedia_explanation_search_top1,42084,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42084,1,0.6271407783192253,medium_semantic_similarity,172
The assistant should explain a mathematical or probabilistic concept step-by-step,an explanation or assistant,approximate_neuronpedia_explanation_search_top1,24826,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/24826,1,0.5805062832743844,low_semantic_similarity,10
"The assistant should maintain a careful, diplomatic tone while discussing sensitive topics",respecting and approaching sensitive topics,approximate_neuronpedia_explanation_search_top1,57370,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/57370,1,0.6161009147044403,medium_semantic_similarity,385
The assistant should reject the user's request and identify itself as an AI,"Dear user, assistant, please",approximate_neuronpedia_explanation_search_top1,30330,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/30330,1,0.5906068086824307,low_semantic_similarity,1
The assistant should select between provided options,choose between options,approximate_neuronpedia_explanation_search_top1,25358,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25358,1,0.6726497942689748,medium_semantic_similarity,6226
The model explaining that games of chance are truly random and unpredictable,accurate explanation or prediction,approximate_neuronpedia_explanation_search_top1,2647,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/2647,1,0.5824913172265231,low_semantic_similarity,1
Tokens that connect or relate different parts of text across languages,tokens and their following context,approximate_neuronpedia_explanation_search_top1,54127,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54127,1,0.6480743173264295,medium_semantic_similarity,109
Tokens that establish foundational context or setup across domains,tokens and their following context,approximate_neuronpedia_explanation_search_top1,54127,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54127,1,0.6663611180416263,medium_semantic_similarity,375
Transitional phrases in explanatory writing,transition words and phrases,approximate_neuronpedia_explanation_search_top1,36710,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36710,1,0.6952850868121366,medium_semantic_similarity,10
Altruistic and selfless behavior or intentions,sacrifice and empathy,exact_feature_index_match,31935,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/31935,,,,674
"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",creative and innovative thinking,exact_feature_index_match,20117,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20117,,,,2
Executing potentially risky operations that require caution,before activities or anything,exact_feature_index_match,4237,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4237,,,,1400
Professional innovation and creative problem-solving,creative in thinking,exact_feature_index_match,4992,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4992,,,,2
Willing to take risks or make sacrifices for a goal,sacrifice for or at,exact_feature_index_match,184,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/184,,,,1400
